Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
734,Collateral,24701458,101005703,76304245,24.50,"3,188",7748,"Aug 6, 2004",DreamWorks Distribution
735,Congo,24642539,81022101,56379562,30.40,"2,649",9302,"Jun 9, 1995",Paramount Pictures
736,Lee Daniels' The Butler,24637312,116632095,91994783,21.10,"2,933",8400,"Aug 16, 2013",The Weinstein Company
737,The Predator,24632284,51024708,26392424,48.30,"4,037",6101,"Sep 14, 2018",Twentieth Century Fox
738,Flightplan,24629938,89707299,65077361,27.50,"3,424",7193,"Sep 23, 2005",Walt Disney Studios Motion Pictures
739,Knowing,24604751,79957634,55352883,30.80,"3,332",7384,"Mar 20, 2009",Summit Entertainment
740,Christopher Robin,24585139,99215042,74629903,24.80,"3,602",6825,"Aug 3, 2018",Walt Disney Studios Motion Pictures
741,Eraser,24566446,101295562,76729116,24.20,"2,410",10193,"Jun 21, 1996",Warner Bros.
742,The Girl on the Train,24536265,75395035,50858770,32.50,"3,144",7804,"Oct 7, 2016",Universal Pictures
743,The Emoji Movie,24531923,86089513,61557590,28.50,"4,075",6020,"Jul 28, 2017",Sony Pictures Releasing
744,Pet Sematary,24502775,54724696,30221921,44.80,"3,585",6834,"Apr 5, 2019",Paramount Pictures
745,Act of Valor,24476632,70012847,45536215,35,"3,039",8054,"Feb 24, 2012",Relativity Media
746,Forrest Gump,24450602,329694499,305243897,7.40,"1,595",15329,"Jul 6, 1994",Paramount Pictures
747,Mean Girls,24432195,86058055,61625860,28.40,"2,839",8605,"Apr 30, 2004",Paramount Pictures
748,Failure to Launch,24411322,88715192,64303870,27.50,"3,057",7985,"Mar 10, 2006",Paramount Pictures
749,Race to Witch Mountain,24402214,67172594,42770380,36.30,"3,187",7656,"Mar 13, 2009",Walt Disney Studios Motion Pictures
750,Contraband,24349815,66528000,42178185,36.60,"2,863",8505,"Jan 13, 2012",Universal Pictures
751,The Chronicles of Riddick,24289165,57761012,33471847,42,"2,757",8809,"Jun 11, 2004",Universal Pictures
752,The Haunted Mansion,24278410,75847266,51568856,32,"3,122",7776,"Nov 26, 2003",Walt Disney Studios Motion Pictures
753,The Last Samurai,24271354,111127263,86855909,21.80,"2,908",8346,"Dec 5, 2003",Warner Bros.
754,TMNT,24255205,54149098,29893893,44.80,"3,110",7799,"Mar 23, 2007",Warner Bros.
755,No Good Deed,24250283,52543632,28293349,46.20,"2,175",11149,"Sep 12, 2014",Screen Gems
756,Barbershop 2: Back in Business,24241612,65111277,40869665,37.20,"2,711",8941,"Feb 6, 2004",Metro-Goldwyn-Mayer (MGM)
757,"Me, Myself & Irene",24209385,90570999,66361614,26.70,"3,019",8019,"Jun 23, 2000",Twentieth Century Fox
758,The Addams Family,24203754,113502426,89298672,21.30,"2,411",10038,"Nov 22, 1991",Paramount Pictures
759,Coach Carter,24182961,67264877,43081916,36,"2,524",9581,"Jan 14, 2005",Paramount Pictures
760,Maze Runner: The Death Cure,24167011,58032443,33865432,41.60,"3,787",6381,"Jan 26, 2018",Twentieth Century Fox
761,Warcraft,24166110,47365290,23199180,51,"3,400",7107,"Jun 10, 2016",Universal Pictures
762,Con Air,24131738,101117573,76985835,23.90,"2,824",8545,"Jun 6, 1997",Walt Disney Studios Motion Pictures
763,Exodus: Gods and Kings,24115934,65014513,40898579,37.10,"3,503",6884,"Dec 12, 2014",Twentieth Century Fox
764,White Noise,24113565,56386759,32273194,42.80,"2,261",10665,"Jan 7, 2005",Universal Pictures
765,21,24105943,81159365,57053422,29.70,"2,648",9103,"Mar 28, 2008",Sony Pictures Releasing
766,Arrival,24074047,100546139,76472092,23.90,"2,317",10390,"Nov 11, 2016",Paramount Pictures
767,Tower Heist,24025190,78046570,54021380,30.80,"3,367",7135,"Nov 4, 2011",Universal Pictures
768,Pixels,24011616,78747585,54735969,30.50,"3,723",6449,"Jul 24, 2015",Sony Pictures Releasing
769,The Chronicles of Narnia: The Voyage of the Dawn Treader,24005069,104386950,80381881,23,"3,555",6752,"Dec 10, 2010",Twentieth Century Fox
770,Monster-in-Law,24000000,82931301,58931301,28.90,"3,424",7009,"May 13, 2005",New Line Cinema
771,The Fast and the Furious: Tokyo Drift,23973840,62514415,38540575,38.40,"3,027",7920,"Jun 16, 2006",Universal Pictures
772,Fahrenheit 9/11,23920637,119194771,95274134,20.10,868,27558,"Jun 23, 2004",Lionsgate
773,Captain Underpants: The First Epic Movie,23851539,73921000,50069461,32.30,"3,434",6945,"Jun 2, 2017",Twentieth Century Fox
774,Bad Moms,23817340,113257297,89439957,21,"3,215",7408,"Jul 29, 2016",STX Entertainment
775,The Town,23808032,92186262,68378230,25.80,"2,861",8321,"Sep 17, 2010",Warner Bros.
776,How to Lose a Guy in 10 Days,23774850,105813373,82038523,22.50,"2,923",8133,"Feb 7, 2003",Paramount Pictures
777,Rise of the Guardians,23773465,103412758,79639293,23,"3,653",6507,"Nov 21, 2012",DreamWorks
778,Paul Blart: Mall Cop 2,23762435,71038190,47275755,33.40,"3,633",6540,"Apr 17, 2015",Sony Pictures Releasing
779,The Fugitive,23758855,183875760,160116905,12.90,"2,340",10153,"Aug 6, 1993",Warner Bros.
780,Diary of a Wimpy Kid: Rodrick Rules,23751502,52698535,28947033,45.10,"3,167",7499,"Mar 25, 2011",Twentieth Century Fox
781,17 Again,23722310,64167069,40444759,37,"3,255",7287,"Apr 17, 2009",Warner Bros.
782,Fury,23702421,85817906,62115485,27.60,"3,173",7470,"Oct 17, 2014",Sony Pictures Releasing
783,Resident Evil: Extinction,23678580,50648679,26970099,46.80,"2,828",8372,"Sep 21, 2007",Screen Gems
784,Tomb Raider,23633317,58250803,34617486,40.60,"3,854",6132,"Mar 16, 2018",Warner Bros.
785,Open Season,23624548,85105259,61480711,27.80,"3,833",6163,"Sep 29, 2006",Sony Pictures Releasing
786,Goosebumps,23618556,80080379,56461823,29.50,"3,501",6746,"Oct 16, 2015",Sony Pictures Releasing
787,The Boss,23586645,63285885,39699240,37.30,"3,480",6777,"Apr 8, 2016",Universal Pictures
788,Dinner for Schmucks,23527839,73026337,49498498,32.20,"2,911",8082,"Jul 30, 2010",DreamWorks
789,Mary Poppins Returns,23523121,171958438,148435317,13.70,"4,090",5751,"Dec 19, 2018",Walt Disney Studios Motion Pictures
790,Dracula Untold,23514615,56280355,32765740,41.80,"2,885",8150,"Oct 10, 2014",Universal Pictures
791,The Amityville Horror,23507007,65233369,41726362,36,"3,323",7074,"Apr 15, 2005",Metro-Goldwyn-Mayer (MGM)
792,Be Cool,23450212,56046979,32596767,41.80,"3,216",7291,"Mar 4, 2005",Metro-Goldwyn-Mayer (MGM)
793,I Can Do Bad All by Myself,23446785,51733921,28287136,45.30,"2,255",10397,"Sep 11, 2009",Lionsgate
794,Save the Last Dance,23444930,91057006,67612076,25.80,"2,230",10513,"Jan 12, 2001",Paramount Pictures
795,Once Upon a Time in Mexico,23424118,56359780,32935662,41.60,"3,282",7137,"Sep 12, 2003",Sony Pictures Releasing
796,Face/Off,23387530,112276146,88888616,20.80,"2,621",8923,"Jun 27, 1997",Paramount Pictures
797,The Taking of Pelham 123,23373102,65452312,42079210,35.70,"3,074",7603,"Jun 12, 2009",Sony Pictures Releasing
798,The Polar Express,23323463,162775358,139451895,14.30,"3,650",6389,"Nov 10, 2004",Warner Bros.
799,Mortal Kombat,23283887,70454098,47170211,33,"2,421",9617,"Aug 18, 1995",New Line Cinema
800,Pineapple Express,23245025,87341380,64096355,26.60,"3,072",7566,"Aug 6, 2008",Sony Pictures Releasing
801,Alvin and the Chipmunks: Chipwrecked,23244744,133110742,109865998,17.50,"3,723",6243,"Dec 16, 2011",Twentieth Century Fox
802,Eragon,23239907,75030163,51790256,31,"3,020",7695,"Dec 15, 2006",Twentieth Century Fox
803,This Is It,23234394,72091016,48856622,32.20,"3,481",6674,"Oct 28, 2009",Sony Pictures Releasing
804,Hellboy,23172440,59623958,36451518,38.90,"3,028",7652,"Apr 2, 2004",Revolution Studios
805,Double Jeopardy,23162542,116741558,93579016,19.80,"2,547",9094,"Sep 24, 1999",Paramount Pictures
806,The Mask,23117068,119938730,96821662,19.30,"2,360",9795,"Jul 29, 1994",New Line Cinema
807,Star Trek: Generations,23116394,75671125,52554731,30.60,"2,659",8693,"Nov 18, 1994",Paramount Pictures
808,Eat Pray Love,23104523,80574010,57469487,28.70,"3,082",7496,"Aug 13, 2010",Sony Pictures Releasing
809,The League of Extraordinary Gentlemen,23075892,66465204,43389312,34.70,"3,002",7686,"Jul 11, 2003",Twentieth Century Fox
810,Smallfoot,23045635,83240103,60194468,27.70,"4,131",5578,"Sep 28, 2018",Warner Bros.
811,Resident Evil: Apocalypse,23036273,51201453,28165180,45,"3,284",7014,"Sep 10, 2004",Screen Gems
812,Star Wars: Episode VI - Return of the Jedi,23019618,252583617,229563999,9.10,"1,002",22973,"May 25, 1983",Twentieth Century Fox
813,27 Dresses,23007725,76808654,53800929,30,"3,057",7526,"Jan 18, 2008",Twentieth Century Fox
814,The Haunting in Connecticut2009 Re-release,23004765,55389516,32384751,41.50,"2,732",8420,"Mar 27, 2009",Lionsgate
815,The Princess Diaries 2: Royal Engagement,22956453,95170481,72214028,24.10,"3,472",6611,"Aug 11, 2004",Walt Disney Studios Motion Pictures
816,The Game Plan,22950971,90648202,67697231,25.30,"3,103",7396,"Sep 28, 2007",Walt Disney Studios Motion Pictures
817,Vantage Point,22874936,72266306,49391370,31.60,"3,149",7264,"Feb 22, 2008",Sony Pictures Releasing
818,Jack Reacher: Never Go Back,22872490,58697076,35824586,39,"3,780",6050,"Oct 21, 2016",Paramount Pictures
819,The Princess Diaries,22862269,108248956,85386687,21.10,"2,537",9011,"Aug 3, 2001",Walt Disney Studios Motion Pictures
820,Mission to Mars,22855247,60883407,38028160,37.50,"3,054",7483,"Mar 10, 2000",Walt Disney Studios Motion Pictures
821,The Interpreter,22822455,72708161,49885706,31.40,"2,758",8275,"Apr 22, 2005",Universal Pictures
822,Jackass: The Movie,22763437,64255312,41491875,35.40,"2,509",9072,"Oct 25, 2002",Paramount Pictures
823,Man on Fire,22751490,77911774,55160284,29.20,"2,980",7634,"Apr 21, 2004",Twentieth Century Fox
824,Mulan,22745143,120620254,97875111,18.90,"2,888",7875,"Jun 19, 1998",Walt Disney Studios Motion Pictures
825,Rugrats in Paris: The Movie,22718184,76507756,53789572,29.70,"2,934",7743,"Nov 17, 2000",Paramount Pictures
826,Insidious: Chapter 3,22692741,52218558,29525817,43.50,"3,002",7559,"Jun 5, 2015",Focus Features
827,Unstoppable,22688457,81562942,58874485,27.80,"3,207",7074,"Nov 12, 2010",Twentieth Century Fox
828,Funny People,22657780,51855045,29197265,43.70,"3,007",7535,"Jul 31, 2009",Universal Pictures
829,Black Mass,22635037,62575678,39940641,36.20,"3,188",7100,"Sep 18, 2015",Warner Bros.
830,Poltergeist,22620386,47425125,24804739,47.70,"3,240",6981,"May 22, 2015",Twentieth Century Fox
831,The Time Machine,22610437,56832494,34222057,39.80,"2,944",7680,"Mar 8, 2002",DreamWorks Distribution
832,Bridge to Terabithia,22564612,82272442,59707830,27.40,"3,139",7188,"Feb 16, 2007",Walt Disney Studios Motion Pictures
833,Training Day,22550788,76631907,54081119,29.40,"2,712",8315,"Oct 5, 2001",Warner Bros.
834,Dick Tracy,22543911,103738726,81194815,21.70,"2,332",9667,"Jun 15, 1990",Walt Disney Studios Motion Pictures
835,Saw: The Final Chapter,22530123,45710178,23180055,49.30,"2,808",8023,"Oct 29, 2010",Lionsgate
836,The Mask of Zorro,22525855,94095523,71569668,23.90,"2,515",8956,"Jul 17, 1998",Sony Pictures Releasing
837,Heaven Is for Real,22522221,91443253,68921032,24.60,"2,417",9318,"Apr 16, 2014",TriStar Pictures
838,The Lucky One,22518358,60457138,37938780,37.20,"3,155",7137,"Apr 20, 2012",Warner Bros.
839,Shallow Hal,22518295,70839203,48320908,31.80,"2,770",8129,"Nov 9, 2001",Twentieth Century Fox
840,Star Wars: Episode I - The Phantom Menace2012 3D Release,22469932,43456382,20986450,51.70,"2,655",8463,"Feb 10, 2012",Twentieth Century Fox
841,Life of Pi,22451514,124987023,102535509,18,"2,927",7670,"Nov 21, 2012",Twentieth Century Fox
842,The Social Network,22445653,96962694,74517041,23.20,"2,771",8100,"Oct 1, 2010",Sony Pictures Releasing
843,The Patriot,22413710,113330342,90916632,19.80,"3,061",7322,"Jun 28, 2000",Sony Pictures Releasing
844,Contagion,22403596,75658097,53254501,29.60,"3,222",6953,"Sep 9, 2011",Warner Bros.
845,Now You See Me 2,22383146,65075540,42692394,34.40,"3,232",6925,"Jun 10, 2016",Lionsgate
846,Walk the Line,22347341,119519402,97172061,18.70,"2,961",7547,"Nov 18, 2005",Twentieth Century Fox
847,The General's Daughter,22332053,102705852,80373799,21.70,"2,856",7819,"Jun 18, 1999",Paramount Pictures
848,Planes,22232291,90288712,68056421,24.60,"3,702",6005,"Aug 9, 2013",Walt Disney Studios Motion Pictures
849,Disturbia,22224982,80209692,57984710,27.70,"2,925",7598,"Apr 13, 2007",DreamWorks
850,"Legally Blonde 2: Red, White & Blonde",22220670,90186328,67965658,24.60,"3,350",6633,"Jul 2, 2003",Metro-Goldwyn-Mayer (MGM)
851,Monster House,22217226,73661010,51443784,30.20,"3,553",6253,"Jul 21, 2006",Sony Pictures Releasing
852,Freaky Friday,22203007,110230332,88027325,20.10,"2,954",7516,"Aug 6, 2003",Walt Disney Studios Motion Pictures
853,Kill Bill: Vol. 1,22200000,70099045,47899045,31.70,"3,102",7156,"Oct 10, 2003",Miramax
854,Die Hard with a Vengeance,22162245,100012499,77850254,22.20,"2,525",8777,"May 19, 1995",Twentieth Century Fox
855,Poseidon,22155410,60674817,38519407,36.50,"3,555",6232,"May 12, 2006",Warner Bros.
856,Diary of a Wimpy Kid,22126166,64003625,41877459,34.60,"3,077",7190,"Mar 19, 2010",Twentieth Century Fox
857,Ghost Rider: Spirit of Vengeance,22115334,51774002,29658668,42.70,"3,174",6967,"Feb 17, 2012",Sony Pictures Releasing
858,It's Complicated,22100820,112735375,90634555,19.60,"2,887",7655,"Dec 25, 2009",Universal Pictures
859,Ladder 49,22088204,74541707,52453503,29.60,"3,260",6775,"Oct 1, 2004",Walt Disney Studios Motion Pictures
860,Road to Perdition,22079481,104454762,82375281,21.10,"1,797",12286,"Jul 12, 2002",DreamWorks Distribution
861,Starship Troopers,22058773,54814377,32755604,40.20,"2,971",7424,"Nov 7, 1997",Sony Pictures Releasing
862,Star Trek: Insurrection,22052836,70187658,48134822,31.40,"2,620",8417,"Dec 11, 1998",Paramount Pictures
863,Chronicle,22004098,64575175,42571077,34.10,"2,907",7569,"Feb 3, 2012",Twentieth Century Fox
864,The Monuments Men,22003433,78031620,56028187,28.20,"3,083",7137,"Feb 7, 2014",Sony Pictures Releasing
865,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,21975993,67597694,45621701,32.50,"2,111",10410,"Feb 21, 1997",Twentieth Century Fox
866,Hide and Seek,21959233,51100486,29141253,43,"3,005",7307,"Jan 28, 2005",Twentieth Century Fox
867,Diary of a Mad Black Woman,21905089,50633099,28728010,43.30,"1,483",14770,"Feb 25, 2005",Lionsgate
868,Inspector Gadget,21889138,97403112,75513974,22.50,"2,814",7778,"Jul 23, 1999",Walt Disney Studios Motion Pictures
869,Unknown,21856389,63686397,41830008,34.30,"3,043",7182,"Feb 18, 2011",Warner Bros.
870,Dolittle,21844045,76859800,55015755,28.40,"4,155",5257,"Jan 17, 2020",Universal Pictures
871,Stomp the Yard,21833312,61356221,39522909,35.60,"2,051",10645,"Jan 12, 2007",Screen Gems
872,Notting Hill,21811180,116089678,94278498,18.80,"2,747",7940,"May 28, 1999",Universal Pictures
873,Lara Croft Tomb Raider: The Cradle of Life,21783641,65660196,43876555,33.20,"3,222",6760,"Jul 25, 2003",Paramount Pictures
874,RED,21761408,90380162,68618754,24.10,"3,255",6685,"Oct 15, 2010",Summit Entertainment
875,Neighbors 2: Sorority Rising,21760405,55455765,33695360,39.20,"3,384",6430,"May 20, 2016",Universal Pictures
876,Underworld,21753759,51970690,30216931,41.90,"2,915",7462,"Sep 19, 2003",Screen Gems
877,Die Hard 2,21744661,117540947,95796286,18.50,"2,507",8673,"Jul 6, 1990",Twentieth Century Fox
878,Texas Chainsaw 3D,21744470,34341945,12597475,63.30,"2,654",8193,"Jan 4, 2013",Lionsgate
879,Garfield,21727611,75369589,53641978,28.80,"3,094",7022,"Jun 11, 2004",Twentieth Century Fox
880,Shaft,21714757,70334258,48619501,30.90,"2,337",9291,"Jun 16, 2000",Paramount Pictures
881,Cats & Dogs,21707617,93385515,71677898,23.20,"3,040",7140,"Jul 4, 2001",Warner Bros.
882,Eyes Wide Shut,21706163,55691208,33985045,39,"2,411",9002,"Jul 16, 1999",Warner Bros.
883,Spy Game,21689125,62362560,40673435,34.80,"2,770",7830,"Nov 21, 2001",Universal Pictures
884,Lights Out,21688103,67268835,45580732,32.20,"2,818",7696,"Jul 22, 2016",Warner Bros.
885,RoboCop,21681430,58607007,36925577,37,"3,372",6429,"Feb 12, 2014",Sony Pictures Releasing
886,My Best Friend's Wedding,21678377,127120029,105441652,17,"2,134",10158,"Jun 20, 1997",Sony Pictures Releasing
887,Bumblebee,21654047,127195589,105541542,17,"3,550",6099,"Dec 21, 2018",Paramount Pictures
888,Temptation: Confessions of a Marriage Counselor,21641679,51975354,30333675,41.60,"2,047",10572,"Mar 29, 2013",Lionsgate
889,London Has Fallen,21635601,62524260,40888659,34.60,"3,490",6199,"Mar 4, 2016",Focus Features
890,Little Man,21613176,58645052,37031876,36.80,"2,533",8532,"Jul 14, 2006",Revolution Studios
891,When a Stranger Calls,21607203,47860214,26253011,45.20,"2,999",7204,"Feb 3, 2006",Screen Gems
892,Fool's Gold,21589295,70231041,48641746,30.70,"3,125",6908,"Feb 8, 2008",Warner Bros.
893,Tammy,21577049,84525432,62948383,25.50,"3,465",6227,"Jul 2, 2014",Warner Bros.
894,Christmas with the Kranks,21570867,73780539,52209672,29.20,"3,393",6357,"Nov 24, 2004",Revolution Studios
895,"You, Me and Dupree",21525560,75628110,54102550,28.50,"3,131",6874,"Jul 14, 2006",Universal Pictures
896,Pete's Dragon,21514095,76233151,54719056,28.20,"3,702",5811,"Aug 12, 2016",Walt Disney Studios Motion Pictures
897,American Reunion,21514080,57011521,35497441,37.70,"3,192",6740,"Apr 6, 2012",Universal Pictures
898,The 40-Year-Old Virgin,21422815,109449237,88026422,19.60,"2,845",7529,"Aug 19, 2005",Universal Pictures
899,The Stepford Wives,21406781,59484742,38077961,36,"3,057",7002,"Jun 11, 2004",Paramount Pictures
900,Good Boys,21402605,83140306,61737701,25.70,"3,204",6679,"Aug 16, 2019",Universal Pictures
901,Safe Haven,21401594,71349120,49947526,30,"3,223",6640,"Feb 14, 2013",Relativity Media
902,The Forbidden Kingdom,21401121,52075270,30674149,41.10,"3,151",6791,"Apr 18, 2008",Lionsgate
903,The Hitman's Bodyguard,21384504,75468583,54084079,28.30,"3,377",6332,"Aug 18, 2017",Lionsgate
904,Angel Has Fallen,21380987,69030436,47649449,31,"3,286",6506,"Aug 23, 2019",Lionsgate
905,Ice Age: Collision Course,21373064,64063008,42689944,33.40,"3,992",5353,"Jul 22, 2016",Twentieth Century Fox
906,Why Did I Get Married?,21353789,55204525,33850736,38.70,"2,011",10618,"Oct 12, 2007",Lionsgate
907,Turbo,21312625,83028128,61715503,25.70,"3,806",5599,"Jul 17, 2013",Twentieth Century Fox
908,Storks,21311407,72679278,51367871,29.30,"3,922",5433,"Sep 23, 2016",Warner Bros.
909,My Bloody Valentine,21241456,51545952,30304496,41.20,"2,534",8382,"Jan 16, 2009",Lionsgate
910,Happy Feet Two,21237068,64006466,42769398,33.20,"3,606",5889,"Nov 18, 2011",Warner Bros.
911,Boo 2! A Madea Halloween,21226953,47319572,26092619,44.90,"2,388",8889,"Oct 20, 2017",Lionsgate
912,Payback,21221526,81526121,60304595,26,"2,729",7776,"Feb 5, 1999",Paramount Pictures
913,Four Brothers,21176925,74494381,53317456,28.40,"2,533",8360,"Aug 12, 2005",Paramount Pictures
914,Waterworld,21171780,88246220,67074440,24,"2,268",9335,"Jul 28, 1995",Universal Pictures
915,The Adjustment Bureau,21157730,62495645,41337915,33.80,"2,840",7449,"Mar 4, 2011",Universal Pictures
916,The Hitchhiker's Guide to the Galaxy,21103203,51085416,29982213,41.30,"3,133",6735,"Apr 29, 2005",Walt Disney Studios Motion Pictures
917,Bride Wars,21058173,58715510,37657337,35.90,"3,226",6527,"Jan 9, 2009",Twentieth Century Fox
918,13 Going on 30,21054283,57231747,36177464,36.80,"3,438",6123,"Apr 23, 2004",Revolution Studios
919,Resident Evil: Retribution,21052227,42345531,21293304,49.70,"3,012",6989,"Sep 14, 2012",Screen Gems
920,Project X,21051363,54731865,33680502,38.50,"3,055",6890,"Mar 2, 2012",Warner Bros.
921,Law Abiding Citizen,21039502,73357727,52318225,28.70,"2,890",7280,"Oct 16, 2009",Overture Films
922,The Hunchback of Notre Dame,21037414,100138851,79101437,21,"2,778",7572,"Jun 21, 1996",Walt Disney Studios Motion Pictures
923,Valkyrie,21027007,83077833,62050826,25.30,"2,711",7756,"Dec 25, 2008",United Artists
924,The Forgotten,21022111,67133509,46111398,31.30,"3,104",6772,"Sep 24, 2004",Revolution Studios
925,Journey to the Center of the Earth,21018141,101704370,80686229,20.70,"2,811",7477,"Jul 11, 2008",Warner Bros.
926,The Strangers,20997985,52597610,31599625,39.90,"2,466",8514,"May 30, 2008",Rogue Pictures
927,Insomnia,20930169,67355513,46425344,31.10,"2,610",8019,"May 24, 2002",Warner Bros.
928,Scary Stories to Tell in the Dark,20915346,68947075,48031729,30.30,"3,135",6671,"Aug 9, 2019",Lionsgate
929,Remember the Titans,20905831,115654751,94748920,18.10,"1,865",11209,"Sep 29, 2000",Walt Disney Studios Motion Pictures
930,The Woman in Black,20874072,54333290,33459218,38.40,"2,855",7311,"Feb 3, 2012",CBS Films
931,Seabiscuit,20854735,120277854,99423119,17.30,"1,989",10485,"Jul 25, 2003",Universal Pictures
932,Underworld: Rise of the Lycans,20828511,45802315,24973804,45.50,"2,942",7079,"Jan 23, 2009",Screen Gems
933,The Grudge 2,20825300,39143839,18318539,53.20,"3,211",6485,"Oct 13, 2006",Sony Pictures Releasing
934,The Naked Gun 2½: The Smell of Fear,20817139,86930411,66113272,24,"2,378",8754,"Jun 28, 1991",Paramount Pictures
935,Prisoners,20817053,61002302,40185249,34.10,"3,260",6385,"Sep 20, 2013",Warner Bros.
936,Prom Night,20804941,43869350,23064409,47.40,"2,700",7705,"Apr 11, 2008",Screen Gems
937,Looper,20801552,66486205,45684653,31.30,"2,992",6952,"Sep 28, 2012",TriStar Pictures
938,This Is the End,20719162,101470202,80751040,20.40,"3,055",6782,"Jun 12, 2013",Sony Pictures Releasing
939,The Bounty Hunter,20686423,67061228,46374805,30.80,"3,074",6729,"Mar 19, 2010",Sony Pictures Releasing
940,Guess Who,20671446,68915888,48244442,30,"3,147",6568,"Mar 25, 2005",Sony Pictures Releasing
941,Step Up,20659573,65328121,44668548,31.60,"2,467",8374,"Aug 11, 2006",Walt Disney Studios Motion Pictures
942,The Wedding Ringer,20649306,64460211,43810905,32,"3,003",6876,"Jan 16, 2015",Screen Gems
943,Barbershop,20627433,75782105,55154672,27.20,"1,605",12851,"Sep 13, 2002",Metro-Goldwyn-Mayer (MGM)
944,1408,20617667,71985628,51367961,28.60,"2,678",7698,"Jun 22, 2007",-
945,Abominable,20612100,60716390,40104290,34,"4,242",4859,"Sep 27, 2019",Universal Pictures
946,Contact,20584908,100920329,80335421,20.40,"1,923",10704,"Jul 11, 1997",Warner Bros.
947,Deja Vu,20574802,64038616,43463814,32.10,"3,108",6619,"Nov 22, 2006",Walt Disney Studios Motion Pictures
948,Blockers,20556350,60311495,39755145,34.10,"3,379",6083,"Apr 6, 2018",Universal Pictures
949,Baby Driver,20553320,107825862,87272542,19.10,"3,226",6371,"Jun 28, 2017",TriStar Pictures
950,Gemini Man,20552372,48546770,27994398,42.30,"3,642",5643,"Oct 11, 2019",Paramount Pictures
951,End of Days,20523595,66889043,46365448,30.70,"2,593",7915,"Nov 24, 1999",Universal Pictures
952,Takers,20512304,57744720,37232416,35.50,"2,206",9298,"Aug 27, 2010",Screen Gems
953,Scary Movie 2,20503356,71308997,50805641,28.80,"3,220",6367,"Jul 4, 2001",Miramax
954,Notorious,20497596,36843682,16346086,55.60,"1,638",12513,"Jan 16, 2009",Fox Searchlight Pictures
955,Mrs. Doubtfire,20468847,219195243,198726396,9.30,"1,605",12753,"Nov 24, 1993",Twentieth Century Fox
956,The Lego Ninjago Movie,20433071,59281555,38848484,34.50,"4,047",5048,"Sep 22, 2017",Warner Bros.
957,Life,20414775,64016268,43601493,31.90,"2,594",7869,"Apr 16, 1999",Universal Pictures
958,Lethal Weapon 2,20388800,147253986,126865186,13.80,"1,803",11308,"Jul 7, 1989",Warner Bros.
959,Legally Blonde,20377426,96520674,76143248,21.10,"2,620",7777,"Jul 13, 2001",Metro-Goldwyn-Mayer (MGM)
960,The Last Exorcism,20366613,41034350,20667737,49.60,"2,874",7086,"Aug 27, 2010",Lionsgate
961,The Upside,20355000,108252517,87897517,18.80,"3,080",6608,"Jan 11, 2019",STX Entertainment
962,Warm Bodies,20353967,66380662,46026695,30.70,"3,009",6764,"Feb 1, 2013",Lionsgate
963,The Nutcracker and the Four Realms,20352491,54858851,34506360,37.10,"3,766",5404,"Nov 2, 2018",Walt Disney Studios Motion Pictures
964,Clear and Present Danger,20348017,122187717,101839700,16.60,"2,378",8556,"Aug 5, 1994",Paramount Pictures
965,John Q,20275194,71756802,51481608,28.30,"2,466",8221,"Feb 15, 2002",New Line Cinema
966,Annabelle Comes Home,20269723,74152591,53882868,27.30,"3,613",5610,"Jun 26, 2019",Warner Bros.
967,Friday Night Lights,20269025,61255921,40986896,33.10,"2,667",7599,"Oct 8, 2004",Universal Pictures
968,Pain & Gain,20244505,49875291,29630786,40.60,"3,277",6177,"Apr 26, 2013",Paramount Pictures
969,Barbershop: The Next Cut,20242415,54030051,33787636,37.50,"2,661",7607,"Apr 15, 2016",Warner Bros.
970,Deepwater Horizon,20223544,61433527,41209983,32.90,"3,259",6205,"Sep 30, 2016",Lionsgate
971,The Pink Panther,20220412,82226474,62006062,24.60,"3,477",5815,"Feb 10, 2006",Sony Pictures Releasing
972,We Were Soldiers,20212543,78122718,57910175,25.90,"3,143",6430,"Mar 1, 2002",Paramount Pictures
973,Eight Below,20188176,81612565,61424389,24.70,"3,066",6584,"Feb 17, 2006",Walt Disney Studios Motion Pictures
974,Rambo: First Blood Part II,20176217,150415432,130239215,13.40,"2,074",9728,"May 22, 1985",TriStar Pictures
975,What Happens in Vegas,20172474,80277646,60105172,25.10,"3,215",6274,"May 9, 2008",Twentieth Century Fox
976,Kicking & Screaming,20159925,52842724,32682799,38.20,"3,455",5835,"May 13, 2005",Universal Pictures
977,Lost in Space,20154919,69117629,48962710,29.20,"3,306",6096,"Apr 3, 1998",New Line Cinema
978,Silent Hill,20152598,46982632,26830034,42.90,"2,926",6887,"Apr 21, 2006",Sony Pictures Releasing
979,Entrapment,20145595,87704396,67558801,23,"2,814",7159,"Apr 30, 1999",Twentieth Century Fox
980,Knight and Day2010 Re-release,20139985,76423035,56283050,26.40,"3,098",6500,"Jun 23, 2010",Twentieth Century Fox
981,Bewitched,20131130,63313159,43182029,31.80,"3,174",6342,"Jun 24, 2005",Sony Pictures Releasing
982,xXx: Return of Xander Cage,20130142,44898413,24768271,44.80,"3,651",5513,"Jan 20, 2017",Paramount Pictures
