Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
171,Straight Outta Compton,60200180,161197785,100997605,37.40,"2,757",21835,"Aug 14, 2015",Universal Pictures
172,Cars,60119509,244082982,183963473,24.60,"3,985",15086,"Jun 9, 2006",Walt Disney Studios Motion Pictures
173,Signs,60117080,227966634,167849554,26.40,"3,264",18418,"Aug 2, 2002",Walt Disney Studios Motion Pictures
174,Fast & Furious Presents: Hobbs & Shaw,60038950,173956935,113917985,34.50,"4,253",14116,"Aug 2, 2019",Universal Pictures
175,Monsters vs. Aliens,59321095,198351526,139030431,29.90,"4,104",14454,"Mar 27, 2009",DreamWorks
176,Star Trek Beyond,59253211,158848340,99595129,37.30,"3,928",15084,"Jul 22, 2016",Paramount Pictures
177,Jumanji: The Next Level,59251543,315971726,256720183,18.80,"4,227",14017,"Dec 13, 2019",Sony Pictures Releasing
178,Jason Bourne,59215365,162434410,103219045,36.40,"4,026",14708,"Jul 29, 2016",Universal Pictures
179,Pearl Harbor,59078912,198542554,139463642,29.80,"3,214",18381,"May 25, 2001",Walt Disney Studios Motion Pictures
180,Fantastic 4: Rise of the Silver Surfer,58051684,131921738,73870054,44,"3,959",14663,"Jun 15, 2007",Twentieth Century Fox
181,Sonic the Hedgehog,58018348,141140061,83121713,41.10,"4,167",13923,"Feb 14, 2020",Paramount Pictures
182,Hannibal,58003121,165092268,107089147,35.10,"3,230",17957,"Feb 9, 2001",Metro-Goldwyn-Mayer (MGM)
183,Mission: Impossible II,57845297,215409889,157564592,26.80,"3,653",15835,"May 24, 2000",Paramount Pictures
184,Ant-Man,57225526,180202163,122976637,31.80,"3,856",14840,"Jul 17, 2015",Walt Disney Studios Motion Pictures
185,22 Jump Street,57071445,191719337,134647892,29.80,"3,306",17262,"Jun 13, 2014",Sony Pictures Releasing
186,Sex and the City,57038404,152647258,95608854,37.40,"3,285",17363,"May 30, 2008",Warner Bros.
187,John Wick: Chapter 3 - Parabellum,56818067,171015687,114197620,33.20,"3,850",14757,"May 17, 2019",Lionsgate
188,Moana,56631401,248757044,192125643,22.80,"3,875",14614,"Nov 23, 2016",Walt Disney Studios Motion Pictures
189,Despicable Me,56397125,251513985,195116860,22.40,"3,476",16224,"Jul 9, 2010",Universal Pictures
190,War for the Planet of the Apes,56262929,146880162,90617233,38.30,"4,022",13988,"Jul 14, 2017",Twentieth Century Fox
191,Valentine's Day,56260707,110485654,54224947,50.90,"3,665",15350,"Feb 12, 2010",Warner Bros.
