Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
823,Man on Fire,"22,751,490","77,911,774",55160284,29.20,"2,980","7,634","Apr 21, 2004",Twentieth Century Fox,"7,634"
824,Mulan,"22,745,143","120,620,254",97875111,18.90,"2,888","7,875","Jun 19, 1998",Walt Disney Studios Motion Pictures,"7,875"
825,Rugrats in Paris: The Movie,"22,718,184","76,507,756",53789572,29.70,"2,934","7,743","Nov 17, 2000",Paramount Pictures,"7,743"
826,Insidious: Chapter 3,"22,692,741","52,218,558",29525817,43.50,"3,002","7,559","Jun 5, 2015",Focus Features,"7,559"
827,Unstoppable,"22,688,457","81,562,942",58874485,27.80,"3,207","7,074","Nov 12, 2010",Twentieth Century Fox,"7,074"
828,Funny People,"22,657,780","51,855,045",29197265,43.70,"3,007","7,535","Jul 31, 2009",Universal Pictures,"7,535"
829,Black Mass,"22,635,037","62,575,678",39940641,36.20,"3,188","7,100","Sep 18, 2015",Warner Bros.,"7,100"
830,Poltergeist,"22,620,386","47,425,125",24804739,47.70,"3,240","6,981","May 22, 2015",Twentieth Century Fox,"6,981"
831,The Time Machine,"22,610,437","56,832,494",34222057,39.80,"2,944","7,680","Mar 8, 2002",DreamWorks Distribution,"7,680"
832,Bridge to Terabithia,"22,564,612","82,272,442",59707830,27.40,"3,139","7,188","Feb 16, 2007",Walt Disney Studios Motion Pictures,"7,188"
833,Training Day,"22,550,788","76,631,907",54081119,29.40,"2,712","8,315","Oct 5, 2001",Warner Bros.,"8,315"
834,Dick Tracy,"22,543,911","103,738,726",81194815,21.70,"2,332","9,667","Jun 15, 1990",Walt Disney Studios Motion Pictures,"9,667"
835,Saw: The Final Chapter,"22,530,123","45,710,178",23180055,49.30,"2,808","8,023","Oct 29, 2010",Lionsgate,"8,023"
836,The Mask of Zorro,"22,525,855","94,095,523",71569668,23.90,"2,515","8,956","Jul 17, 1998",Sony Pictures Releasing,"8,956"
837,Heaven Is for Real,"22,522,221","91,443,253",68921032,24.60,"2,417","9,318","Apr 16, 2014",TriStar Pictures,"9,318"
838,The Lucky One,"22,518,358","60,457,138",37938780,37.20,"3,155","7,137","Apr 20, 2012",Warner Bros.,"7,137"
839,Shallow Hal,"22,518,295","70,839,203",48320908,31.80,"2,770","8,129","Nov 9, 2001",Twentieth Century Fox,"8,129"
840,Star Wars: Episode I - The Phantom Menace2012 3D Release,"22,469,932","43,456,382",20986450,51.70,"2,655","8,463","Feb 10, 2012",Twentieth Century Fox,"8,463"
841,Life of Pi,"22,451,514","124,987,023",102535509,18,"2,927","7,670","Nov 21, 2012",Twentieth Century Fox,"7,670"
842,The Social Network,"22,445,653","96,962,694",74517041,23.20,"2,771","8,100","Oct 1, 2010",Sony Pictures Releasing,"8,100"
843,The Patriot,"22,413,710","113,330,342",90916632,19.80,"3,061","7,322","Jun 28, 2000",Sony Pictures Releasing,"7,322"
844,Contagion,"22,403,596","75,658,097",53254501,29.60,"3,222","6,953","Sep 9, 2011",Warner Bros.,"6,953"
845,Now You See Me 2,"22,383,146","65,075,540",42692394,34.40,"3,232","6,925","Jun 10, 2016",Lionsgate,"6,925"
846,Walk the Line,"22,347,341","119,519,402",97172061,18.70,"2,961","7,547","Nov 18, 2005",Twentieth Century Fox,"7,547"
847,The General's Daughter,"22,332,053","102,705,852",80373799,21.70,"2,856","7,819","Jun 18, 1999",Paramount Pictures,"7,819"
848,Planes,"22,232,291","90,288,712",68056421,24.60,"3,702","6,005","Aug 9, 2013",Walt Disney Studios Motion Pictures,"6,005"
849,Disturbia,"22,224,982","80,209,692",57984710,27.70,"2,925","7,598","Apr 13, 2007",DreamWorks,"7,598"
850,"Legally Blonde 2: Red, White & Blonde","22,220,670","90,186,328",67965658,24.60,"3,350","6,633","Jul 2, 2003",Metro-Goldwyn-Mayer (MGM),"6,633"
851,Monster House,"22,217,226","73,661,010",51443784,30.20,"3,553","6,253","Jul 21, 2006",Sony Pictures Releasing,"6,253"
852,Freaky Friday,"22,203,007","110,230,332",88027325,20.10,"2,954","7,516","Aug 6, 2003",Walt Disney Studios Motion Pictures,"7,516"
853,Kill Bill: Vol. 1,"22,200,000","70,099,045",47899045,31.70,"3,102","7,156","Oct 10, 2003",Miramax,"7,156"
854,Die Hard with a Vengeance,"22,162,245","100,012,499",77850254,22.20,"2,525","8,777","May 19, 1995",Twentieth Century Fox,"8,777"
855,Poseidon,"22,155,410","60,674,817",38519407,36.50,"3,555","6,232","May 12, 2006",Warner Bros.,"6,232"
856,Diary of a Wimpy Kid,"22,126,166","64,003,625",41877459,34.60,"3,077","7,190","Mar 19, 2010",Twentieth Century Fox,"7,190"
857,Ghost Rider: Spirit of Vengeance,"22,115,334","51,774,002",29658668,42.70,"3,174","6,967","Feb 17, 2012",Sony Pictures Releasing,"6,967"
858,It's Complicated,"22,100,820","112,735,375",90634555,19.60,"2,887","7,655","Dec 25, 2009",Universal Pictures,"7,655"
859,Ladder 49,"22,088,204","74,541,707",52453503,29.60,"3,260","6,775","Oct 1, 2004",Walt Disney Studios Motion Pictures,"6,775"
860,Road to Perdition,"22,079,481","104,454,762",82375281,21.10,"1,797","12,286","Jul 12, 2002",DreamWorks Distribution,"12,286"
861,Starship Troopers,"22,058,773","54,814,377",32755604,40.20,"2,971","7,424","Nov 7, 1997",Sony Pictures Releasing,"7,424"
862,Star Trek: Insurrection,"22,052,836","70,187,658",48134822,31.40,"2,620","8,417","Dec 11, 1998",Paramount Pictures,"8,417"
863,Chronicle,"22,004,098","64,575,175",42571077,34.10,"2,907","7,569","Feb 3, 2012",Twentieth Century Fox,"7,569"
864,The Monuments Men,"22,003,433","78,031,620",56028187,28.20,"3,083","7,137","Feb 7, 2014",Sony Pictures Releasing,"7,137"
865,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,"21,975,993","67,597,694",45621701,32.50,"2,111","10,410","Feb 21, 1997",Twentieth Century Fox,"10,410"
866,Hide and Seek,"21,959,233","51,100,486",29141253,43,"3,005","7,307","Jan 28, 2005",Twentieth Century Fox,"7,307"
867,Diary of a Mad Black Woman,"21,905,089","50,633,099",28728010,43.30,"1,483","14,770","Feb 25, 2005",Lionsgate,"14,770"
868,Inspector Gadget,"21,889,138","97,403,112",75513974,22.50,"2,814","7,778","Jul 23, 1999",Walt Disney Studios Motion Pictures,"7,778"
869,Unknown,"21,856,389","63,686,397",41830008,34.30,"3,043","7,182","Feb 18, 2011",Warner Bros.,"7,182"
870,Dolittle,"21,844,045","76,859,800",55015755,28.40,"4,155","5,257","Jan 17, 2020",Universal Pictures,"5,257"
871,Stomp the Yard,"21,833,312","61,356,221",39522909,35.60,"2,051","10,645","Jan 12, 2007",Screen Gems,"10,645"
872,Notting Hill,"21,811,180","116,089,678",94278498,18.80,"2,747","7,940","May 28, 1999",Universal Pictures,"7,940"
873,Lara Croft Tomb Raider: The Cradle of Life,"21,783,641","65,660,196",43876555,33.20,"3,222","6,760","Jul 25, 2003",Paramount Pictures,"6,760"
874,RED,"21,761,408","90,380,162",68618754,24.10,"3,255","6,685","Oct 15, 2010",Summit Entertainment,"6,685"
875,Neighbors 2: Sorority Rising,"21,760,405","55,455,765",33695360,39.20,"3,384","6,430","May 20, 2016",Universal Pictures,"6,430"
876,Underworld,"21,753,759","51,970,690",30216931,41.90,"2,915","7,462","Sep 19, 2003",Screen Gems,"7,462"
877,Die Hard 2,"21,744,661","117,540,947",95796286,18.50,"2,507","8,673","Jul 6, 1990",Twentieth Century Fox,"8,673"
878,Texas Chainsaw 3D,"21,744,470","34,341,945",12597475,63.30,"2,654","8,193","Jan 4, 2013",Lionsgate,"8,193"
879,Garfield,"21,727,611","75,369,589",53641978,28.80,"3,094","7,022","Jun 11, 2004",Twentieth Century Fox,"7,022"
880,Shaft,"21,714,757","70,334,258",48619501,30.90,"2,337","9,291","Jun 16, 2000",Paramount Pictures,"9,291"
881,Cats & Dogs,"21,707,617","93,385,515",71677898,23.20,"3,040","7,140","Jul 4, 2001",Warner Bros.,"7,140"
882,Eyes Wide Shut,"21,706,163","55,691,208",33985045,39,"2,411","9,002","Jul 16, 1999",Warner Bros.,"9,002"
883,Spy Game,"21,689,125","62,362,560",40673435,34.80,"2,770","7,830","Nov 21, 2001",Universal Pictures,"7,830"
884,Lights Out,"21,688,103","67,268,835",45580732,32.20,"2,818","7,696","Jul 22, 2016",Warner Bros.,"7,696"
885,RoboCop,"21,681,430","58,607,007",36925577,37,"3,372","6,429","Feb 12, 2014",Sony Pictures Releasing,"6,429"
886,My Best Friend's Wedding,"21,678,377","127,120,029",105441652,17,"2,134","10,158","Jun 20, 1997",Sony Pictures Releasing,"10,158"
887,Bumblebee,"21,654,047","127,195,589",105541542,17,"3,550","6,099","Dec 21, 2018",Paramount Pictures,"6,099"
888,Temptation: Confessions of a Marriage Counselor,"21,641,679","51,975,354",30333675,41.60,"2,047","10,572","Mar 29, 2013",Lionsgate,"10,572"
889,London Has Fallen,"21,635,601","62,524,260",40888659,34.60,"3,490","6,199","Mar 4, 2016",Focus Features,"6,199"
890,Little Man,"21,613,176","58,645,052",37031876,36.80,"2,533","8,532","Jul 14, 2006",Revolution Studios,"8,532"
891,When a Stranger Calls,"21,607,203","47,860,214",26253011,45.20,"2,999","7,204","Feb 3, 2006",Screen Gems,"7,204"
892,Fool's Gold,"21,589,295","70,231,041",48641746,30.70,"3,125","6,908","Feb 8, 2008",Warner Bros.,"6,908"
893,Tammy,"21,577,049","84,525,432",62948383,25.50,"3,465","6,227","Jul 2, 2014",Warner Bros.,"6,227"
894,Christmas with the Kranks,"21,570,867","73,780,539",52209672,29.20,"3,393","6,357","Nov 24, 2004",Revolution Studios,"6,357"
895,"You, Me and Dupree","21,525,560","75,628,110",54102550,28.50,"3,131","6,874","Jul 14, 2006",Universal Pictures,"6,874"
896,Pete's Dragon,"21,514,095","76,233,151",54719056,28.20,"3,702","5,811","Aug 12, 2016",Walt Disney Studios Motion Pictures,"5,811"
897,American Reunion,"21,514,080","57,011,521",35497441,37.70,"3,192","6,740","Apr 6, 2012",Universal Pictures,"6,740"
898,The 40-Year-Old Virgin,"21,422,815","109,449,237",88026422,19.60,"2,845","7,529","Aug 19, 2005",Universal Pictures,"7,529"
899,The Stepford Wives,"21,406,781","59,484,742",38077961,36,"3,057","7,002","Jun 11, 2004",Paramount Pictures,"7,002"
900,Good Boys,"21,402,605","83,140,306",61737701,25.70,"3,204","6,679","Aug 16, 2019",Universal Pictures,"6,679"
901,Safe Haven,"21,401,594","71,349,120",49947526,30,"3,223","6,640","Feb 14, 2013",Relativity Media,"6,640"
902,The Forbidden Kingdom,"21,401,121","52,075,270",30674149,41.10,"3,151","6,791","Apr 18, 2008",Lionsgate,"6,791"
903,The Hitman's Bodyguard,"21,384,504","75,468,583",54084079,28.30,"3,377","6,332","Aug 18, 2017",Lionsgate,"6,332"
904,Angel Has Fallen,"21,380,987","69,030,436",47649449,31,"3,286","6,506","Aug 23, 2019",Lionsgate,"6,506"
905,Ice Age: Collision Course,"21,373,064","64,063,008",42689944,33.40,"3,992","5,353","Jul 22, 2016",Twentieth Century Fox,"5,353"
906,Why Did I Get Married?,"21,353,789","55,204,525",33850736,38.70,"2,011","10,618","Oct 12, 2007",Lionsgate,"10,618"
907,Turbo,"21,312,625","83,028,128",61715503,25.70,"3,806","5,599","Jul 17, 2013",Twentieth Century Fox,"5,599"
908,Storks,"21,311,407","72,679,278",51367871,29.30,"3,922","5,433","Sep 23, 2016",Warner Bros.,"5,433"
909,My Bloody Valentine,"21,241,456","51,545,952",30304496,41.20,"2,534","8,382","Jan 16, 2009",Lionsgate,"8,382"
910,Happy Feet Two,"21,237,068","64,006,466",42769398,33.20,"3,606","5,889","Nov 18, 2011",Warner Bros.,"5,889"
911,Boo 2! A Madea Halloween,"21,226,953","47,319,572",26092619,44.90,"2,388","8,889","Oct 20, 2017",Lionsgate,"8,889"
912,Payback,"21,221,526","81,526,121",60304595,26,"2,729","7,776","Feb 5, 1999",Paramount Pictures,"7,776"
913,Four Brothers,"21,176,925","74,494,381",53317456,28.40,"2,533","8,360","Aug 12, 2005",Paramount Pictures,"8,360"
914,Waterworld,"21,171,780","88,246,220",67074440,24,"2,268","9,335","Jul 28, 1995",Universal Pictures,"9,335"
915,The Adjustment Bureau,"21,157,730","62,495,645",41337915,33.80,"2,840","7,449","Mar 4, 2011",Universal Pictures,"7,449"
916,The Hitchhiker's Guide to the Galaxy,"21,103,203","51,085,416",29982213,41.30,"3,133","6,735","Apr 29, 2005",Walt Disney Studios Motion Pictures,"6,735"
917,Bride Wars,"21,058,173","58,715,510",37657337,35.90,"3,226","6,527","Jan 9, 2009",Twentieth Century Fox,"6,527"
918,13 Going on 30,"21,054,283","57,231,747",36177464,36.80,"3,438","6,123","Apr 23, 2004",Revolution Studios,"6,123"
919,Resident Evil: Retribution,"21,052,227","42,345,531",21293304,49.70,"3,012","6,989","Sep 14, 2012",Screen Gems,"6,989"
920,Project X,"21,051,363","54,731,865",33680502,38.50,"3,055","6,890","Mar 2, 2012",Warner Bros.,"6,890"
921,Law Abiding Citizen,"21,039,502","73,357,727",52318225,28.70,"2,890","7,280","Oct 16, 2009",Overture Films,"7,280"
922,The Hunchback of Notre Dame,"21,037,414","100,138,851",79101437,21,"2,778","7,572","Jun 21, 1996",Walt Disney Studios Motion Pictures,"7,572"
923,Valkyrie,"21,027,007","83,077,833",62050826,25.30,"2,711","7,756","Dec 25, 2008",United Artists,"7,756"
924,The Forgotten,"21,022,111","67,133,509",46111398,31.30,"3,104","6,772","Sep 24, 2004",Revolution Studios,"6,772"
925,Journey to the Center of the Earth,"21,018,141","101,704,370",80686229,20.70,"2,811","7,477","Jul 11, 2008",Warner Bros.,"7,477"
926,The Strangers,"20,997,985","52,597,610",31599625,39.90,"2,466","8,514","May 30, 2008",Rogue Pictures,"8,514"
927,Insomnia,"20,930,169","67,355,513",46425344,31.10,"2,610","8,019","May 24, 2002",Warner Bros.,"8,019"
928,Scary Stories to Tell in the Dark,"20,915,346","68,947,075",48031729,30.30,"3,135","6,671","Aug 9, 2019",Lionsgate,"6,671"
929,Remember the Titans,"20,905,831","115,654,751",94748920,18.10,"1,865","11,209","Sep 29, 2000",Walt Disney Studios Motion Pictures,"11,209"
930,The Woman in Black,"20,874,072","54,333,290",33459218,38.40,"2,855","7,311","Feb 3, 2012",CBS Films,"7,311"
931,Seabiscuit,"20,854,735","120,277,854",99423119,17.30,"1,989","10,485","Jul 25, 2003",Universal Pictures,"10,485"
932,Underworld: Rise of the Lycans,"20,828,511","45,802,315",24973804,45.50,"2,942","7,079","Jan 23, 2009",Screen Gems,"7,079"
933,The Grudge 2,"20,825,300","39,143,839",18318539,53.20,"3,211","6,485","Oct 13, 2006",Sony Pictures Releasing,"6,485"
934,The Naked Gun 2½: The Smell of Fear,"20,817,139","86,930,411",66113272,24,"2,378","8,754","Jun 28, 1991",Paramount Pictures,"8,754"
935,Prisoners,"20,817,053","61,002,302",40185249,34.10,"3,260","6,385","Sep 20, 2013",Warner Bros.,"6,385"
936,Prom Night,"20,804,941","43,869,350",23064409,47.40,"2,700","7,705","Apr 11, 2008",Screen Gems,"7,705"
937,Looper,"20,801,552","66,486,205",45684653,31.30,"2,992","6,952","Sep 28, 2012",TriStar Pictures,"6,952"
938,This Is the End,"20,719,162","101,470,202",80751040,20.40,"3,055","6,782","Jun 12, 2013",Sony Pictures Releasing,"6,782"
939,The Bounty Hunter,"20,686,423","67,061,228",46374805,30.80,"3,074","6,729","Mar 19, 2010",Sony Pictures Releasing,"6,729"
940,Guess Who,"20,671,446","68,915,888",48244442,30,"3,147","6,568","Mar 25, 2005",Sony Pictures Releasing,"6,568"
941,Step Up,"20,659,573","65,328,121",44668548,31.60,"2,467","8,374","Aug 11, 2006",Walt Disney Studios Motion Pictures,"8,374"
942,The Wedding Ringer,"20,649,306","64,460,211",43810905,32,"3,003","6,876","Jan 16, 2015",Screen Gems,"6,876"
943,Barbershop,"20,627,433","75,782,105",55154672,27.20,"1,605","12,851","Sep 13, 2002",Metro-Goldwyn-Mayer (MGM),"12,851"
944,1408,"20,617,667","71,985,628",51367961,28.60,"2,678","7,698","Jun 22, 2007",-,"7,698"
945,Abominable,"20,612,100","60,716,390",40104290,34,"4,242","4,859","Sep 27, 2019",Universal Pictures,"4,859"
946,Contact,"20,584,908","100,920,329",80335421,20.40,"1,923","10,704","Jul 11, 1997",Warner Bros.,"10,704"
947,Deja Vu,"20,574,802","64,038,616",43463814,32.10,"3,108","6,619","Nov 22, 2006",Walt Disney Studios Motion Pictures,"6,619"
948,Blockers,"20,556,350","60,311,495",39755145,34.10,"3,379","6,083","Apr 6, 2018",Universal Pictures,"6,083"
949,Baby Driver,"20,553,320","107,825,862",87272542,19.10,"3,226","6,371","Jun 28, 2017",TriStar Pictures,"6,371"
950,Gemini Man,"20,552,372","48,546,770",27994398,42.30,"3,642","5,643","Oct 11, 2019",Paramount Pictures,"5,643"
951,End of Days,"20,523,595","66,889,043",46365448,30.70,"2,593","7,915","Nov 24, 1999",Universal Pictures,"7,915"
952,Takers,"20,512,304","57,744,720",37232416,35.50,"2,206","9,298","Aug 27, 2010",Screen Gems,"9,298"
953,Scary Movie 2,"20,503,356","71,308,997",50805641,28.80,"3,220","6,367","Jul 4, 2001",Miramax,"6,367"
954,Notorious,"20,497,596","36,843,682",16346086,55.60,"1,638","12,513","Jan 16, 2009",Fox Searchlight Pictures,"12,513"
955,Mrs. Doubtfire,"20,468,847","219,195,243",198726396,9.30,"1,605","12,753","Nov 24, 1993",Twentieth Century Fox,"12,753"
956,The Lego Ninjago Movie,"20,433,071","59,281,555",38848484,34.50,"4,047","5,048","Sep 22, 2017",Warner Bros.,"5,048"
957,Life,"20,414,775","64,016,268",43601493,31.90,"2,594","7,869","Apr 16, 1999",Universal Pictures,"7,869"
958,Lethal Weapon 2,"20,388,800","147,253,986",126865186,13.80,"1,803","11,308","Jul 7, 1989",Warner Bros.,"11,308"
959,Legally Blonde,"20,377,426","96,520,674",76143248,21.10,"2,620","7,777","Jul 13, 2001",Metro-Goldwyn-Mayer (MGM),"7,777"
960,The Last Exorcism,"20,366,613","41,034,350",20667737,49.60,"2,874","7,086","Aug 27, 2010",Lionsgate,"7,086"
961,The Upside,"20,355,000","108,252,517",87897517,18.80,"3,080","6,608","Jan 11, 2019",STX Entertainment,"6,608"
962,Warm Bodies,"20,353,967","66,380,662",46026695,30.70,"3,009","6,764","Feb 1, 2013",Lionsgate,"6,764"
963,The Nutcracker and the Four Realms,"20,352,491","54,858,851",34506360,37.10,"3,766","5,404","Nov 2, 2018",Walt Disney Studios Motion Pictures,"5,404"
964,Clear and Present Danger,"20,348,017","122,187,717",101839700,16.60,"2,378","8,556","Aug 5, 1994",Paramount Pictures,"8,556"
965,John Q,"20,275,194","71,756,802",51481608,28.30,"2,466","8,221","Feb 15, 2002",New Line Cinema,"8,221"
966,Annabelle Comes Home,"20,269,723","74,152,591",53882868,27.30,"3,613","5,610","Jun 26, 2019",Warner Bros.,"5,610"
967,Friday Night Lights,"20,269,025","61,255,921",40986896,33.10,"2,667","7,599","Oct 8, 2004",Universal Pictures,"7,599"
968,Pain & Gain,"20,244,505","49,875,291",29630786,40.60,"3,277","6,177","Apr 26, 2013",Paramount Pictures,"6,177"
969,Barbershop: The Next Cut,"20,242,415","54,030,051",33787636,37.50,"2,661","7,607","Apr 15, 2016",Warner Bros.,"7,607"
970,Deepwater Horizon,"20,223,544","61,433,527",41209983,32.90,"3,259","6,205","Sep 30, 2016",Lionsgate,"6,205"
971,The Pink Panther,"20,220,412","82,226,474",62006062,24.60,"3,477","5,815","Feb 10, 2006",Sony Pictures Releasing,"5,815"
972,We Were Soldiers,"20,212,543","78,122,718",57910175,25.90,"3,143","6,430","Mar 1, 2002",Paramount Pictures,"6,430"
973,Eight Below,"20,188,176","81,612,565",61424389,24.70,"3,066","6,584","Feb 17, 2006",Walt Disney Studios Motion Pictures,"6,584"
974,Rambo: First Blood Part II,"20,176,217","150,415,432",130239215,13.40,"2,074","9,728","May 22, 1985",TriStar Pictures,"9,728"
975,What Happens in Vegas,"20,172,474","80,277,646",60105172,25.10,"3,215","6,274","May 9, 2008",Twentieth Century Fox,"6,274"
976,Kicking & Screaming,"20,159,925","52,842,724",32682799,38.20,"3,455","5,835","May 13, 2005",Universal Pictures,"5,835"
977,Lost in Space,"20,154,919","69,117,629",48962710,29.20,"3,306","6,096","Apr 3, 1998",New Line Cinema,"6,096"
978,Silent Hill,"20,152,598","46,982,632",26830034,42.90,"2,926","6,887","Apr 21, 2006",Sony Pictures Releasing,"6,887"
979,Entrapment,"20,145,595","87,704,396",67558801,23,"2,814","7,159","Apr 30, 1999",Twentieth Century Fox,"7,159"
980,Knight and Day2010 Re-release,"20,139,985","76,423,035",56283050,26.40,"3,098","6,500","Jun 23, 2010",Twentieth Century Fox,"6,500"
981,Bewitched,"20,131,130","63,313,159",43182029,31.80,"3,174","6,342","Jun 24, 2005",Sony Pictures Releasing,"6,342"
982,xXx: Return of Xander Cage,"20,130,142","44,898,413",24768271,44.80,"3,651","5,513","Jan 20, 2017",Paramount Pictures,"5,513"
983,Final Destination 3,"20,125,000","54,098,051",33973051,37.20,"2,880","6,987","Feb 10, 2006",New Line Cinema,"6,987"
984,Beavis and Butt-Head Do America,"20,114,233","63,118,386",43004153,31.90,"2,190","9,184","Dec 20, 1996",Paramount Pictures,"9,184"
985,The Mexican,"20,108,829","66,845,033",46736204,30.10,"2,951","6,814","Mar 2, 2001",DreamWorks Distribution,"6,814"
986,Meet the Browns,"20,082,809","41,975,388",21892579,47.80,"2,006","10,011","Mar 21, 2008",Lionsgate,"10,011"
987,Zookeeper,"20,065,617","80,360,843",60295226,25,"3,482","5,762","Jul 8, 2011",Sony Pictures Releasing,"5,762"
988,Ray,"20,039,730","75,331,600",55291870,26.60,"2,006","9,989","Oct 29, 2004",Universal Pictures,"9,989"
989,Enemy of the State,"20,038,573","111,549,836",91511263,18,"2,393","8,373","Nov 20, 1998",Walt Disney Studios Motion Pictures,"8,373"
990,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"20,030,473","78,656,813",58626340,25.50,"2,868","6,984","Mar 22, 1991",New Line Cinema,"6,984"
991,Julie & Julia,"20,027,956","94,125,426",74097470,21.30,"2,354","8,508","Aug 7, 2009",Sony Pictures Releasing,"8,508"
992,The Manchurian Candidate,"20,018,620","65,955,630",45937010,30.40,"2,867","6,982","Jul 30, 2004",Paramount Pictures,"6,982"
993,Rocky IV,"19,991,537","127,873,716",107882179,15.60,"1,325","15,087","Nov 27, 1985",United Artists,"15,087"
994,Pitch Perfect 3,"19,928,525","104,897,530",84969005,19,"3,447","5,781","Dec 22, 2017",Universal Pictures,"5,781"
995,102 Dalmatians,"19,883,351","66,957,026",47073675,29.70,"2,704","7,353","Nov 22, 2000",Walt Disney Studios Motion Pictures,"7,353"
996,Ouija,"19,875,995","50,856,010",30980015,39.10,"2,858","6,954","Oct 24, 2014",Universal Pictures,"6,954"
997,Kick-Ass,"19,828,687","48,071,303",28242616,41.20,"3,065","6,469","Apr 16, 2010",Lionsgate,"6,469"
998,The Unborn,"19,810,585","42,670,410",22859825,46.40,"2,357","8,405","Jan 9, 2009",Universal Pictures,"8,405"
999,The Cable Guy,"19,806,226","60,240,295",40434069,32.90,"2,657","7,454","Jun 14, 1996",Sony Pictures Releasing,"7,454"
"1,000",Spawn,"19,738,749","54,870,175",35131426,36,"2,536","7,783","Aug 1, 1997",New Line Cinema,"7,783"
,,,,0,,,,,,
