Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
188,Moana,"56,631,401","248,757,044",192125643,22.80,"3,875","14,614","Nov 23, 2016",Walt Disney Studios Motion Pictures,"14,614"
189,Despicable Me,"56,397,125","251,513,985",195116860,22.40,"3,476","16,224","Jul 9, 2010",Universal Pictures,"16,224"
190,War for the Planet of the Apes,"56,262,929","146,880,162",90617233,38.30,"4,022","13,988","Jul 14, 2017",Twentieth Century Fox,"13,988"
191,Valentine's Day,"56,260,707","110,485,654",54224947,50.90,"3,665","15,350","Feb 12, 2010",Warner Bros.,"15,350"
192,Ralph Breaks the Internet,"56,237,634","201,091,711",144854077,28,"4,017","13,999","Nov 21, 2018",Walt Disney Studios Motion Pictures,"13,999"
193,Snow White and the Huntsman,"56,217,700","155,332,381",99114681,36.20,"3,773","14,900","Jun 1, 2012",Universal Pictures,"14,900"
194,Big Hero 6,"56,215,889","222,527,828",166311939,25.30,"3,761","14,947","Nov 7, 2014",Walt Disney Studios Motion Pictures,"14,947"
195,Charlie and the Chocolate Factory,"56,178,450","206,459,076",150280626,27.20,"3,770","14,901","Jul 15, 2005",Warner Bros.,"14,901"
196,Fantastic Four,"56,061,504","154,696,080",98634576,36.20,"3,602","15,563","Jul 8, 2005",Twentieth Century Fox,"15,563"
197,Gravity,"55,785,112","274,092,705",218307593,20.40,"3,575","15,604","Oct 4, 2013",Warner Bros.,"15,604"
198,The Karate Kid,"55,665,805","176,591,618",120925813,31.50,"3,663","15,196","Jun 11, 2010",Sony Pictures Releasing,"15,196"
