Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
105,Ant-Man and the Wasp,75812205,216648740,140836535,35,4206,18024,06/07/2018,Walt Disney Studios Motion Pictures
106,Star Trek,75204289,257730019,182525730,29.20,3849,19538,08/05/2009,Paramount Pictures
107,Zootopia,75063401,341268248,266204847,22,3827,19614,04/03/2016,Walt Disney Studios Motion Pictures
108,Fantastic Beasts and Where to Find Them,74403387,234037575,159634188,31.80,4144,17954,18/11/2016,Warner Bros.
109,The Simpsons Movie,74036787,183135014,109098227,40.40,3922,18877,27/07/2007,Twentieth Century Fox
110,The Hobbit: The Desolation of Smaug,73645197,258366855,184721658,28.50,3903,18868,13/12/2013,Warner Bros.
111,Austin Powers in Goldmember,73071188,213307889,140236701,34.30,3613,20224,26/07/2002,New Line Cinema
112,The Lord of the Rings: The Return of the King,72629713,377027325,304397612,19.30,3703,19613,17/12/2003,New Line Cinema
113,Dawn of the Planet of the Apes,72611427,208545589,135934162,34.80,3967,18303,11/07/2014,Twentieth Century Fox
114,Despicable Me 3,72434025,264624300,192190275,27.40,4529,15993,30/06/2017,Universal Pictures
115,The Lost World: Jurassic Park,72132785,229086679,156953894,31.50,3281,21985,23/05/1997,Universal Pictures
116,Us,71117625,175084580,103966955,40.60,3741,19010,22/03/2019,Universal Pictures
117,Fast & Furious,70950500,155064265,84113765,45.80,3461,20500,03/04/2009,Universal Pictures
118,300,70885301,210614939,139729638,33.70,3103,22844,09/03/2007,Warner Bros.
119,Shrek Forever After,70838207,238736787,167898580,29.70,4359,16251,21/05/2010,DreamWorks
120,Transformers,70502384,319246193,248743809,22.10,4011,17577,03/07/2007,DreamWorks
121,The Incredibles,70467623,261441092,190973469,27,3933,17917,05/11/2004,Walt Disney Studios Motion Pictures
122,Spectre,70403148,200074609,129671461,35.20,3929,17918,06/11/2015,Sony Pictures Releasing
123,Finding Nemo,70251710,339714978,269463268,20.70,3374,20821,30/05/2003,Walt Disney Studios Motion Pictures
124,The Lorax,70217070,214030500,143813430,32.80,3729,18830,02/03/2012,Universal Pictures
125,Star Trek Into Darkness,70165559,228778661,158613102,30.70,3868,18140,16/05/2013,Paramount Pictures
126,Twilight,69637740,192769854,123132114,36.10,3419,20367,21/11/2008,Summit Entertainment
127,Maleficent,69431298,241410378,171979080,28.80,3948,17586,30/05/2014,Walt Disney Studios Motion Pictures
128,The Bourne Ultimatum,69283690,227471070,158187380,30.50,3660,18929,03/08/2007,Universal Pictures
129,Pitch Perfect 2,69216890,184296230,115079340,37.60,3473,19930,15/05/2015,Universal Pictures
130,The Lego Movie,69050279,257760692,188710413,26.80,3775,18291,07/02/2014,Warner Bros.
131,The Day After Tomorrow,68743584,186740799,117997215,36.80,3425,20071,28/05/2004,Twentieth Century Fox
132,Planet of the Apes,68532960,180011740,111478780,38.10,3500,19580,27/07/2001,Twentieth Century Fox
133,The Mummy Returns,68139035,202019785,133880750,33.70,3401,20035,04/05/2001,Universal Pictures
